Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N4	TN193	R1	11.2	190	238	48	144	8.841593283	4082.605699	0.038478614	4617.5	4.352	1776.75	35.0396	740
N4	TN193	R2	12.375	191	239	48	146	10.142996	4033.425755	0.041155206	3976.5625	4.0575	1636.5625	36.96185714	601.5625
N4	TN193	R3	9.375	189	238	49	154	11.5238865	3952.332949	0.050013667	3429.6875	4.34	1715.3125	39.186125	751.5625
N4	TN194	R1	11	191	241	50	139	17.24356756	13837.96296	0.046557632	8025	2.7	3736.25	50.8686	670
N4	TN194	R2	9.75	193	242	49	115	13.68808637	7708.103638	0.031037736	5631.25	2.2675	1747.8125	49.496875	556.25
N4	TN194	R3	9.5	192	242	50	134	13.77206821	7503.62529	0.033918637	5448.4375	2.462857143	1848.035714	50.69685714	525
N4	TN195	R1	9.8	189	235	46	125	14.73160457	7255.315249	0.040187817	4925	2.728	1979.25	48.548	507.5
N4	TN195	R2	10.125	190	242	52	127	16.00831976	8399.365274	0.048865396	5246.875	3.0525	2563.90625	47.798125	515.625
N4	TN195	R3	8.75	187	236	49	143	17.00849647	10085.50689	0.043201581	5929.6875	2.54	2561.71875	45.3365	860.9375
N4	TN196	R1	12.8	193	241	48	128	15.63477173	12500	0.048342714	7995	3.092	3865	50.9424	1047.5
N4	TN196	R2	9.25	194	242	48	128	15.81037168	6776.226488	0.045296715	4285.9375	2.865	1941.388889	49.623	742.1875
N4	TN196	R3	10.625	193	242	49	125	18.27322089	9938.919052	0.046276932	5439.0625	2.5325	2517.03125	51.443875	829.6875
N4	TN197	R1	7.2	192	242	50	124	17.12430141	6472.985934	0.053564815	3780	3.128	2024.75	49.1754	585
N4	TN197	R2	.	192	245	53	145	.	.	.	.	.	.	.	.
N4	TN197	R3	7.625	194	241	47	129	17.90713361	8094.583987	0.038022814	4520.3125	2.123333333	1718.75	46.6125	643.75
N4	TN198	R1	7.4	191	239	48	127	9.002877929	5512.012012	0.029979584	6122.5	3.33	1835.5	44.15425	602.5
N4	TN198	R2	8.25	189	242	53	137	7.484575785	6041.456016	0.018505614	8071.875	2.4725	1493.75	43.716375	887.5
N4	TN198	R3	5.571428571	191	242	51	130	8.116293156	3108.830146	0.020615385	3830.357143	2.54	789.6428571	43.39785714	800
N4	TN199	R1	7.2	196	245	49	130	6.750395665	4222.372488	0.017470024	6255	2.588	1092.75	43.968	750
N4	TN199	R2	6.875	198	245	47	120	7.865744774	5449.486301	0.020096978	6928.125	2.555	1392.34375	42.32775	737.5
N4	TN199	R3	6.2	198	249	51	129	9.639074118	5518.369932	0.022825328	5725	2.368	1306.75	44.5418	630
N4	TN200	R1	8.142857143	195	242	47	152	4.717537589	5796.674312	0.01469176	12287.5	3.114285714	1805.25	47.132	751.7857143
N4	TN200	R2	7.5	196	245	49	150	11.53541372	5650.550314	0.027511962	4898.4375	2.385	1347.65625	46.058375	640.625
N4	TN200	R3	9	196	245	49	112	16.78287815	9138.801616	0.046740316	5445.3125	2.785	2545.15625	46.5685	706.25
N4	TN201	R1	9.6	189	239	50	113	13.66464391	6822.073474	0.043890836	4992.5	3.212	2191.25	44.0022	575
